Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.01, n_layers=7, nb=0, no_cuda=False, seed=512, test_batch_size=1000, train_mode='DFA', weight_decay=0.0)
Epoch,Training Loss,Test Loss,Test Accuracy
1,14337617698.519331,41138862458.29299,71.19
2,39461262940.793175,63133679850.80255,74.03
3,115286094697.34755,113492241936.30573,84.78
4,135200408268.14499,181518609936.30573,76.8
5,155909591957.01492,103219601668.89172,89.92
6,156020495742.08954,125316819661.45222,87.67
7,182265161618.83154,150391464927.38855,89.17
8,189376104041.8934,167305850906.08917,87.58
9,510561284628.742,1491812543181.4521,77.87
10,594282039099.4968,404866239964.1274,90.73
11,529226995436.8955,410934711602.5478,90.57
12,440373690123.4627,468842409697.0191,88.63
13,454144149167.76117,385618348071.1337,89.87
14,434988310755.0704,423702045245.9618,88.48
15,332054753183.93176,287243193507.0573,91.38
16,343257084297.0064,545451272909.4522,88.57
17,327577158505.34753,432532827559.94904,89.72
18,264739666815.18124,271866839144.3567,90.83
19,252268578305.09167,329895527547.9236,91.37
20,242557524531.30917,194301272220.53503,93.67
21,220761450701.23666,203445494020.89172,93.59
22,183994241574.20895,158545713060.6879,93.72
23,183534468735.72708,182427132060.53503,93.76
24,179300950173.20255,195410386787.46497,93.04
25,166409361237.69724,162657534369.42676,93.85
26,152027153606.68655,138840561885.75797,94.13
27,132730870777.44989,164839873986.0382,91.77
28,123329410954.09808,143687989730.6497,93.76
29,117218625898.43924,158878984074.59872,92.73
30,113241365252.91258,210192869780.38217,90.92
31,114285409766.89125,96036984531.97452,95.12
32,102715977212.72495,106504839428.89172,95.1
33,93654910954.1663,127431861737.17198,93.72
34,81297452016.71642,78834232848.30573,95.54
35,81623802851.61621,74716843901.55414,95.73
36,77989643288.01706,105551383297.63057,94.0
37,71051732079.3518,80142275473.12102,95.34
38,68511481471.72708,76008869861.91083,95.6
39,65838789734.61834,75604971076.48407,95.71
40,59533617427.10448,135477349121.63057,90.83
41,59662194587.56503,68011132758.42038,95.05
42,58743244324.02559,67866638818.64968,95.49
43,51701490415.07889,64504992657.12102,95.42
44,51637521549.918976,70600097792.0,94.81
45,47283635154.149254,77795753566.57324,94.05
46,46882540022.17484,60316591071.388535,95.21
47,44953156968.25587,45331133485.65605,96.25
48,41471004453.66312,47988289353.37579,95.77
49,39642553267.58209,53022692241.12102,95.6
50,38130398380.48614,62364754702.675156,94.52
51,36424330294.58422,54887791700.78981,95.43
52,37624431395.479744,49118176745.171974,95.52
53,32867294026.780384,43557830342.92994,95.88
54,31599671422.635395,45327344920.458595,95.85
55,31165550897.671642,50657002098.14013,95.12
56,29294826336.61407,51178208653.85987,94.58
57,29916037469.33902,46553693790.57325,95.07
58,27323677567.181236,39259553687.64331,95.99
59,26366882150.072495,42727227078.92994,95.52
60,26175247899.29211,39338467380.178345,95.66
61,25738862539.599148,38797782857.37579,95.9
62,23542654203.08742,32922283431.949043,96.21
63,23429398493.066097,37031206129.324844,95.96
64,22463480995.752666,32236363619.46497,96.15
65,21450296531.78678,33447899683.872612,96.2
66,21304654719.181236,30450560215.23567,96.13
67,20953319297.364616,36422471862.62421,95.47
68,20302673557.56077,31713284487.337578,95.97
69,19430029019.42857,29420920362.394905,96.33
70,19224837899.46269,32003509619.770702,95.81
71,18620505430.788914,27295693908.78981,96.4
72,17882261814.03838,30130305402.292995,95.84
73,17275693016.69936,35116630746.49682,95.37
74,17516822737.603413,32459649363.159237,95.55
75,17165540555.053305,27369438188.43312,96.1
76,16361288492.213219,27817915646.369427,96.31
77,16268104824.085287,27344695635.159237,96.13
78,15859282313.006397,26965134499.057323,96.19
79,15188802221.577826,27677120942.471336,95.93
80,15200750454.447762,23941192423.5414,96.51
81,14859206586.132196,23800553837.24841,96.58
82,14479363283.786781,24073391475.770702,96.36
83,14081319278.80597,25249791895.64331,96.1
84,14082023965.47548,25025507667.159237,96.41
85,13829330983.30064,24362154779.719746,96.36
86,13630411476.878466,23076942058.802547,96.47
87,13416790247.4371,24710345460.585987,96.14
88,13199700919.948828,22237819114.802547,96.45
89,13069945089.637527,21952870256.509556,96.6
90,12848880004.639658,25067312956.33121,95.82
91,12513674124.28145,22541342628.687897,96.4
92,12511330478.66951,23217265070.471336,96.1
93,12595823011.206823,23111917411.46497,96.19
94,11969265733.867804,22351220605.554142,96.26
95,11904172695.744137,21757243209.375797,96.55
96,11904844404.810234,21848711428.89172,96.5
97,11742096718.055437,21339032530.34395,96.53
98,11622597062.140724,22650380340.178345,96.26
99,11380226768.511726,21470164639.796177,96.48
100,11537275198.771854,22579363526.929935,96.04
