Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.001, n_layers=7, nb=0, no_cuda=False, seed=42, test_batch_size=1000, train_mode='DFA', weight_decay=1e-05)
Epoch,Training Loss,Test Loss,Test Accuracy
1,40984.714596772246,200024.9212032245,67.87
2,363192.6657865805,338557.0650875796,81.26
3,599740.4528584755,1053777.7774681528,77.71
4,1386846.045575693,2235965.8972929935,78.59
5,1810055.8456823027,3596165.805732484,75.88
6,1990719.2309434968,1825617.2062101911,88.0
7,1759187.1503198294,2080339.4673566879,85.81
8,1795453.4746801706,1686506.789808917,90.67
9,2129899.88619403,1749071.4761146498,91.45
10,2513811.08608742,1841847.613057325,92.23
11,2521794.0591684435,3123525.0875796177,87.66
12,2700713.3691364606,2206064.2643312104,92.23
13,2467547.4850746267,3609709.831210191,86.15
14,2552147.3582089553,2357569.738853503,90.93
15,2464123.973347548,1544607.2515923567,94.15
16,2226326.0506396587,2177035.5477707004,91.98
17,2230523.1807036246,2672776.0573248407,89.91
18,2013419.6748400852,3114354.5222929935,89.84
19,1943742.3747334755,1953421.525477707,93.24
20,1792404.7542643924,1986705.729299363,92.04
21,1708782.1252665245,1829457.863057325,93.21
22,1595909.1540511728,1432319.2324840764,93.87
23,1483427.197761194,1790772.856687898,92.77
24,1536158.8091684435,1724472.286624204,93.43
25,1508737.5772921108,1691473.4554140128,92.5
26,1430588.957889126,1691400.4713375797,93.37
27,1359584.9664179105,2969419.828025478,88.54
28,1336585.6945628999,1404265.9108280255,93.76
29,1145132.8507462686,1403376.5191082803,93.65
30,1257608.2009594883,1683621.3535031846,93.56
31,1204327.6332622601,1742050.4171974522,93.55
32,1094438.6918976547,1507230.076433121,93.87
33,1154777.4434968017,1205952.2738853502,95.18
34,995571.8987206822,1245319.1210191082,94.39
35,944192.4307036247,1094605.8248407643,94.97
36,923507.7750533049,1148547.9872611465,94.85
37,874884.1428571428,991786.1305732484,95.21
38,841201.932835821,1155886.6337579617,94.77
39,771607.4285714285,1011820.3821656051,95.12
40,761931.1391257995,1216104.0732484076,93.93
41,690584.4541577825,829519.280254777,95.61
42,650654.8789978678,890611.0350318472,95.09
43,620664.3219616205,900169.7834394905,94.85
44,596379.3571428572,976687.8726114649,94.26
45,577885.2873134328,755799.2611464969,95.34
46,525332.2835820896,819124.0955414013,95.31
47,508605.13272921107,725437.5127388535,95.36
48,499038.6673773987,792400.4617834395,95.11
49,478173.89445629,817011.7038216561,94.83
50,461457.946695096,678355.1687898089,95.2
51,418021.7974413646,649084.7292993631,95.83
52,408845.0506396589,604096.3662420382,95.86
53,382289.69562899787,534962.5732484077,96.2
54,382231.8875266524,588789.8662420382,95.8
55,361700.8773987207,598069.8152866242,95.59
56,344507.2777185501,568012.2388535031,95.48
57,322656.04797441367,500680.17515923566,95.93
58,316949.8209121802,542202.1114649682,95.92
59,303250.57089552237,600729.7866242038,95.26
60,298826.2723880597,550637.1464968153,95.57
61,288629.7819829424,473809.7993630573,95.87
62,282301.08635394456,534060.6273885351,95.7
63,273908.8352878465,492283.1337579618,95.98
64,263274.86300639657,477137.66560509556,96.02
65,264721.8853944563,520222.1050955414,95.52
66,254654.08475479746,445982.7515923567,96.07
67,245305.07783765325,422253.79617834394,96.13
68,238109.46268656716,481293.57006369426,95.38
69,234027.17963752666,438597.3821656051,95.92
70,220479.32622601278,405145.9076433121,95.84
71,219969.11886993604,444352.1847133758,95.89
72,211061.73773987207,402720.10828025476,96.21
73,206623.28464818763,416537.51910828025,95.78
74,200634.80863539447,399171.949044586,95.75
75,197448.88805970148,390993.2643312102,96.24
76,194105.02398720683,382845.2229299363,96.14
77,191453.69616204692,376646.70382165606,96.03
78,189435.74040511728,385351.01910828025,96.16
79,182632.79424307036,358243.44267515925,96.29
80,179626.5106609808,376127.5222929936,96.07
81,175555.35820895524,367232.6401273885,96.21
82,171958.6305970149,387462.82484076434,95.96
83,171074.98720682302,347777.25796178344,96.01
84,164735.59381663112,359232.81847133755,96.12
85,162571.62313432837,374444.5159235669,95.91
86,161938.71162046908,382779.0923566879,95.73
87,159706.8960554371,359254.13057324843,96.09
88,156956.1199360341,345110.6592356688,96.2
89,156270.61833688698,345776.6719745223,96.21
90,155514.6764392324,343066.3821656051,96.1
91,152102.8224946695,347645.7515923567,96.23
92,151705.79051172707,338065.1210191083,96.3
93,150471.4328358209,345815.56369426753,96.21
94,148400.52931769722,343568.9076433121,96.24
95,146062.83102345417,330331.4331210191,96.23
96,145055.6289978678,334871.7738853503,96.18
97,143601.7409381663,326573.57006369426,96.26
98,143697.67057569296,328643.5222929936,96.29
99,141756.04530916843,326871.2484076433,96.26
100,141139.8933901919,328112.03503184713,96.2
