Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.001, n_layers=7, nb=0, no_cuda=False, seed=42, test_batch_size=1000, train_mode='DFA', weight_decay=0.0001)
Epoch,Training Loss,Test Loss,Test Accuracy
1,77855.57184975488,194816.10235867836,73.73
2,642559.7122784515,710268.0350318472,84.85
3,1355746.7345415778,2767406.562898089,73.85
4,1843903.5708955224,2275852.7117834394,81.9
5,1982792.391924307,2491451.3694267515,83.69
6,2062717.3691364606,2586991.9156050957,86.17
7,2372492.083688699,3654237.6353503186,84.17
8,4646486.047441364,7204810.50955414,87.32
9,6270018.223347548,12187407.458598725,80.92
10,9158831.085820895,5876848.560509554,91.04
11,8784869.219616205,9892538.56687898,87.27
12,7906720.067164179,5994409.732484076,90.83
13,7053391.227078891,12160804.579617834,84.66
14,6628889.070362473,4445735.872611465,92.99
15,5818123.640724947,4940858.152866242,92.32
16,5617312.347547974,6407676.942675159,90.66
17,5643601.571428572,6667684.070063694,90.08
18,5118880.996801706,6299499.458598726,91.89
19,4849031.836886994,4286510.70700637,93.57
20,4340952.704690832,6099084.9363057325,90.83
21,3889162.9307036246,3675888.566878981,93.87
22,3687193.7057569297,4371350.382165605,92.99
23,3597737.932835821,4291529.751592357,92.74
24,3405545.576759062,3365016.27388535,94.26
25,2923067.7995735607,3547957.6496815286,93.15
26,2592970.7057569297,3510159.98089172,93.15
27,2362574.423240938,2786835.146496815,93.89
28,2218032.6076759063,2311641.0382165606,94.53
29,2016695.3667377399,2791166.9171974524,93.74
30,2004708.8528784649,2920812.146496815,93.18
31,1907132.4104477612,2749016.592356688,93.69
32,1676088.933901919,1844258.9872611465,95.39
33,1568095.4797441366,2566187.006369427,93.38
34,1510022.7686567164,3849494.796178344,90.43
35,1339587.436034115,1807208.49044586,94.8
36,1221052.1353944563,1987654.7515923567,94.25
37,1241129.764392324,2127579.2484076433,93.99
38,1077249.1823027718,1612330.8025477708,94.71
39,1004361.6673773987,1914709.210191083,94.29
40,925666.0437100213,1681879.9426751593,94.02
41,855140.9445628998,1093294.0127388535,96.1
42,835760.0426439232,1330752.9108280255,95.04
43,764468.1172707889,1552481.1082802548,94.26
44,734962.684434968,1062974.1146496816,95.58
45,701056.4541577825,933115.7070063695,96.44
46,661645.8144989338,961704.8853503185,95.98
47,623334.8518123667,1093501.1783439491,95.12
48,582932.474413646,1128046.7579617833,95.15
49,556668.4434968017,984095.5222929936,95.46
50,520626.71108742006,785624.2101910828,96.41
51,494535.5213219616,798152.3312101911,95.96
52,453212.5490405117,809522.6815286624,96.01
53,452634.7398720682,927792.3949044585,95.48
54,423953.4040511727,693401.7006369426,96.63
55,413188.3539445629,937564.0828025477,95.59
56,373912.4829424307,753243.6114649682,96.04
57,358184.90938166314,750051.7324840764,95.91
58,360273.0703624734,764578.2420382166,95.81
59,337321.6353944563,678043.9299363057,96.2
60,332712.8837953092,756781.5668789808,95.64
61,328232.5447761194,756956.7707006369,95.39
62,292823.4594882729,630288.1464968153,96.18
63,285923.75906183367,599142.2420382166,96.5
64,267090.9168443497,583185.8853503185,96.37
65,257863.2132196162,550657.847133758,96.57
66,255914.03731343284,568906.4267515923,96.23
67,246909.37313432837,555279.3821656051,96.41
68,230502.0511727079,635954.1210191083,95.75
69,232582.95202558636,570045.9299363057,96.19
70,222551.95415778251,506388.9554140127,96.38
71,204876.2526652452,544180.0700636943,96.24
72,191167.8710021322,485961.923566879,96.48
73,188117.89978678038,516188.3821656051,96.12
74,191557.9157782516,460622.03184713377,96.71
75,182595.4882729211,515432.67515923566,96.17
76,173100.9221748401,474712.4777070064,96.26
77,170148.6353944563,444836.9044585987,96.55
78,164639.10021321962,475991.8662420382,96.42
79,163858.57462686568,437833.1401273885,96.55
80,156996.97547974414,427467.33121019107,96.54
81,152333.19936034115,442967.2165605096,96.37
82,146585.17164179104,424027.5159235669,96.54
83,141694.263326226,425110.43949044583,96.38
84,139280.52025586355,439040.07006369426,96.38
85,136141.4051172708,426086.5923566879,96.45
86,136438.56076759062,444803.949044586,96.35
87,130653.60234541578,421388.59872611467,96.38
88,128694.52985074627,398551.0445859873,96.57
89,125382.59808102346,404232.127388535,96.58
90,121433.42857142857,410419.32484076434,96.45
91,121189.618336887,409184.949044586,96.34
92,116800.29530916845,400927.0127388535,96.39
93,117136.12046908315,402955.99363057327,96.23
94,115519.18336886994,410839.923566879,96.31
95,113329.2132196162,384973.9554140127,96.49
96,110564.91364605544,380990.2484076433,96.64
97,108053.1801705757,380088.2929936306,96.46
98,106468.63859275053,395262.025477707,96.54
99,106970.4093816631,388045.0891719745,96.35
100,104181.94882729212,382843.37579617836,96.65
