Namespace(b_lr=0.0001, batch_size=64, conv=False, dataset='MNIST', dry_run=False, epochs=100, feedback_decay=0.0, gamma=0.95, log_dir='results/', log_interval=100, lr=0.001, n_layers=7, nb=0, no_cuda=False, seed=168, test_batch_size=1000, train_mode='DFA', weight_decay=0.0)
Epoch,Training Loss,Test Loss,Test Accuracy
1,99976.748115004,258208.9204816879,75.44
2,1095632.4515425107,2112516.27388535,77.72
3,1479188.3829957356,2077324.2444267515,79.34
4,1836343.5798240937,1958394.7006369426,84.8
5,3265861.478411514,3386448.170382166,86.99
6,3641245.052771855,3457757.3566878983,85.79
7,3540065.1263326225,3132200.178343949,88.9
8,3788325.052771855,2903819.4904458597,88.94
9,3411429.7281449893,2535220.366242038,91.05
10,2981729.573560768,3166896.821656051,88.93
11,3187516.416311301,2976884.7675159234,89.57
12,2549376.6135394457,2745579.907643312,91.49
13,3068527.648187633,2496245.321656051,92.28
14,2866329.001066098,3131661.621019108,89.36
15,2385671.6540511725,1910626.6337579617,92.61
16,2200072.3843283583,2418633.3025477706,92.63
17,2238935.9408315565,2003840.643312102,92.72
18,2047708.5053304904,1881232.2515923567,93.5
19,2117154.222814499,2142852.72611465,92.22
20,1930036.277185501,2578596.4044585987,90.86
21,3755389.0575692966,3131436.6242038216,92.42
22,3029154.989339019,2850988.5222929935,93.58
23,2859818.3475479744,2445599.6369426753,94.35
24,2500589.497867804,1999552.0063694268,94.28
25,2351629.3208955224,2000369.8535031846,94.18
26,2029985.4434968017,1834521.9363057325,94.13
27,2030247.5831556504,2136397.9171974524,93.34
28,1938266.723880597,1922318.8598726115,94.63
29,1730808.6417910447,1707035.7834394905,94.66
30,1631640.380597015,1502623.1847133758,95.11
31,1599981.144989339,1829778.9808917197,94.14
32,1479470.5,1479800.3757961784,94.97
33,1510517.5021321962,1618050.0955414013,94.76
34,1318256.9701492537,2052045.5159235669,93.48
35,1230838.1929637527,1485443.3949044587,94.39
36,1147760.514925373,1516826.8789808918,94.57
37,1101673.3528784649,1601804.101910828,93.87
38,1034093.250533049,1132360.1146496816,95.76
39,1015649.828358209,1069950.433121019,95.14
40,904328.1151385928,1215263.4649681528,94.74
41,874686.1002132196,1179839.363057325,95.06
42,830723.6471215351,1014181.6305732484,95.42
43,800584.2942430704,1092479.9808917197,95.09
44,768245.631130064,1182111.9808917197,94.41
45,715474.6375266524,990603.1592356688,95.35
46,671968.6226012793,1007451.643312102,94.96
47,654827.21108742,990648.4522292993,94.9
48,635617.723880597,823094.5414012739,95.73
49,582718.8059701492,866393.6878980892,95.17
50,570110.2313432836,943037.9809414808,94.8
51,534803.1620469083,750364.9171974523,95.75
52,512234.44136460556,843247.4331210192,95.24
53,505438.35181236675,732048.5796178344,95.42
54,467268.3710021322,751886.8535031847,95.37
55,451444.684434968,698528.2738853503,95.59
56,430343.5117270789,720635.8662420382,95.6
57,419121.4914712153,637483.3312101911,95.64
58,405574.10554371,743409.7770700637,95.02
59,391530.41364605544,653733.280254777,95.43
60,376792.9285714286,604797.25477707,95.81
61,355531.4818763326,596744.4522292993,95.83
62,340679.86140724947,715129.2484076433,94.53
63,335327.4296375266,634509.9554140128,95.47
64,328255.09061833686,559678.6751592357,95.96
65,314967.7206823028,592509.050955414,95.52
66,310687.78464818763,609925.7388535031,94.92
67,285242.381663113,568510.0636942675,95.31
68,283553.4829424307,507269.0127388535,95.81
69,269036.39445629,483614.3885350319,96.08
70,273459.0799573561,508851.92993630574,95.72
71,270272.933901919,531423.7643312102,95.61
72,258423.87420042645,528135.1910828026,95.39
73,243335.02025586355,512556.7515923567,95.55
74,244466.41257995737,487091.974522293,95.72
75,239876.7132196162,488314.5668789809,95.49
76,233069.2985074627,437011.4713375796,96.22
77,223476.14925373133,552335.7707006369,94.86
78,223101.16631130065,451189.1847133758,95.48
79,217360.5671641791,431291.58598726115,95.98
80,214085.53091684435,424571.974522293,95.97
81,210008.70042643923,427831.1847133758,95.9
82,208333.61194029852,416739.3566878981,95.96
83,200566.69509594882,415259.46496815287,95.85
84,194402.79530916843,420966.1847133758,95.8
85,196291.29530916843,400041.31847133755,96.01
86,190961.9946695096,411953.949044586,95.81
87,185831.58742004263,393673.80891719746,96.07
88,183320.6855010661,406575.9044585987,95.76
89,182405.1631130064,390245.2611464968,96.04
90,177043.71002132195,414529.5159235669,95.74
91,178232.9882729211,391515.53503184713,95.93
92,172560.44243070364,381131.4840764331,96.04
93,173986.18017057568,387072.71337579616,95.95
94,169907.85074626867,389608.3885350319,95.93
95,167770.72707889127,392706.56050955417,95.71
96,168046.43603411515,376231.050955414,95.94
97,167380.77398720683,375181.28025477706,96.07
98,164172.91364605544,386284.974522293,95.91
99,162921.342217484,367923.923566879,96.13
100,158430.21108742003,372607.0127388535,95.96
